question,strategy,rank,score,source,chunk_id,text_preview
What is machine learning?,Fixed,3,0.5345,machine_learning.txt,4,"ed using accuracy, precision, recall, F1 score, or a confusion matrix. Regression can use measures such as mean absolute error and mean squared error.  A model that performs extremely well on training data but poorly on unseen data may be overfitting. Regularization, simpler models, more data, and a"
What is machine learning?,Recursive,1,0.7656,machine_learning.txt,machine_learning.txt_0,"# Machine Learning  Machine learning is a branch of artificial intelligence that enables computer systems to learn patterns from data. Instead of writing every rule manually, a developer provides data and a learning algorithm that identifies relationships useful for prediction or decision-making.  #"
What is machine learning?,Recursive,2,0.6059,machine_learning.txt,machine_learning.txt_8,"Successful machine learning projects require more than choosing an algorithm. Data collection, preprocessing, evaluation, deployment, monitoring, and communication of results are all important parts of the workflow."
What is machine learning?,Recursive,3,0.5862,machine_learning.txt,machine_learning.txt_7,"## Applications  Machine learning is used in recommendation systems, fraud detection, image recognition, natural language processing, forecasting, search, and anomaly detection. In production systems, model performance must be monitored because data distributions and user behavior can change over ti"
What is machine learning?,Sentence,1,0.7827,machine_learning.txt,machine_learning.txt_0,"# Machine Learning Machine learning is a branch of artificial intelligence that enables computer systems to learn patterns from data. Instead of writing every rule manually, a developer provides data and a learning algorithm that identifies relationships useful for prediction or decision-making. ## "
What is machine learning?,Sentence,2,0.7269,machine_learning.txt,machine_learning.txt_5,"Machine learning is used in recommendation systems, fraud detection, image recognition, natural language processing, forecasting, search, and anomaly detection. In production systems, model performance must be monitored because data distributions and user behavior can change over time. Successful ma"
What is machine learning?,Sentence,3,0.503,machine_learning.txt,machine_learning.txt_2,"Reinforcement learning is based on interaction between an agent and an environment. The agent takes actions and receives rewards or penalties. Over time, the agent learns a strategy that attempts to maximize cumulative reward. ## Data Preparation Data quality has a major effect on machine learning p"
What is software testing?,Fixed,1,0.7738,software_testing.txt,0,# Software Testing  Software testing is the systematic process of checking whether an application behaves as expected and identifying defects. Testing can begin early in development and continue throughout the software lifecycle.  ## Testing Levels  Unit testing checks small components such as funct
What is software testing?,Fixed,2,0.5151,software_testing.txt,3,derstand and operate the interface effectively. Security testing checks whether applications protect data and restrict unauthorized operations.  ## Automation  Automated testing uses software tools to execute repeatable test cases. Automation is useful for regression testing because the same checks 
What is software testing?,Fixed,3,0.4466,python.txt,4,"nd-line tools, web services, and databases.  ## Development Practices  A typical Python project may contain source modules, tests, configuration files, documentation, and dependency specifications. Developers often use Git for version control and virtual environments for dependency management. Autom"
What is software testing?,Recursive,1,0.788,software_testing.txt,software_testing.txt_0,# Software Testing  Software testing is the systematic process of checking whether an application behaves as expected and identifying defects. Testing can begin early in development and continue throughout the software lifecycle.  ## Testing Levels
What is software testing?,Recursive,2,0.5294,APIs.txt,APIs.txt_4,"## Testing  API testing can verify status codes, response bodies, headers, validation, authentication, authorization, and error handling. Tools can send requests repeatedly and compare responses with expected results.  Documentation is important because developers need to understand available endpoi"
What is software testing?,Recursive,3,0.5214,software_testing.txt,software_testing.txt_4,"## Automation  Automated testing uses software tools to execute repeatable test cases. Automation is useful for regression testing because the same checks can be run after code changes.  However, not every test should be automated. Exploratory testing and usability checks often benefit from human ob"
What is software testing?,Sentence,1,0.7931,software_testing.txt,software_testing.txt_0,# Software Testing Software testing is the systematic process of checking whether an application behaves as expected and identifying defects. Testing can begin early in development and continue throughout the software lifecycle. ## Testing Levels Unit testing checks small components such as function
What is software testing?,Sentence,2,0.5087,software_testing.txt,software_testing.txt_3,Usability testing evaluates whether users can understand and operate the interface effectively. Security testing checks whether applications protect data and restrict unauthorized operations. ## Automation Automated testing uses software tools to execute repeatable test cases. Automation is useful f
What is software testing?,Sentence,3,0.4672,python.txt,python.txt_4,"A typical Python project may contain source modules, tests, configuration files, documentation, and dependency specifications. Developers often use Git for version control and virtual environments for dependency management. Automated testing can be added using frameworks such as pytest or the standa"
